address,price,details,bedrooms,bathrooms,category,city
"218 Golden Trl, Vaughan, ON L6A 5A1",1199000.0,3 bds3 ba- Townhouse for sale,3.0,3.0,Townhouse,Vaughan
"24 Sicilia St, Vaughan, ON L4H 1G3",1399999.0,4 bds4 ba- House for sale,4.0,4.0,House,Vaughan
"81 Mahogany Forest Dr, Vaughan, ON L6A 0T1",1258800.0,4 bds4 ba- House for sale,4.0,4.0,House,Vaughan
"99 Abner Miles Dr, Vaughan, ON L6A 4X4",2299000.0,5 bds6 ba- House for sale,5.0,6.0,House,Vaughan
"26 Bruce St #E17, Vaughan, ON L4L 0H4",649999.0,2 bds2 ba- Condo for sale,2.0,2.0,Condo,Vaughan
"31 Ravineview Dr, Vaughan, ON L6A 3V2",979000.0,4 bds3 ba- House for sale,4.0,3.0,House,Vaughan
"96 Agostino Cres, Vaughan, ON L4K 5L6",999000.0,4 bds4 ba- House for sale,4.0,4.0,House,Vaughan
"16 Via Romano Blvd, Vaughan, ON L6A 4Y9",1498900.0,4 bds5 ba- Townhouse for sale,4.0,5.0,Townhouse,Vaughan
"18 Alba Ave, Vaughan, ON L4H 2A7",1188000.0,2 bds3 ba- House for sale,2.0,3.0,House,Vaughan
"40 National Pine Dr, Vaughan, ON L6A 3M3",898888.0,3 bds4 ba- House for sale,3.0,4.0,House,Vaughan
"138 Torrey Pines Rd, Vaughan, ON L4H 3X4",1488888.0,4 bds4 ba- House for sale,4.0,4.0,House,Vaughan
"26 Moneypenny Pl, Vaughan, ON L4J 0L1",1199900.0,3 bds3 ba- Townhouse for sale,3.0,3.0,Townhouse,Vaughan
"31 Longbridge Rd, Vaughan, ON L4J 1L7",2138000.0,4 bds3 ba- House for sale,4.0,3.0,House,Vaughan
"235 Joseph Aaron Blvd, Vaughan, ON L4J 6C4",1399900.0,7 bds7 ba- House for sale,7.0,7.0,House,Vaughan
"42 Tahir St, Vaughan, ON L6A 3A9",949000.0,6 bds4 ba- House for sale,6.0,4.0,House,Vaughan
"96 Bellini Ave, Vaughan, ON L4H 0R7",1080000.0,3 bds3 ba- House for sale,3.0,3.0,House,Vaughan
"77 Loudon Cres, Vaughan, ON L4J 8N4",1565000.0,4 bds5 ba- House for sale,4.0,5.0,House,Vaughan
"8 Centro Park Dr, Vaughan, ON L4H 1N9",899880.0,3 bds3 ba- House for sale,3.0,3.0,House,Vaughan
"9888 Dufferin St, Vaughan, ON L6A 1S2",10800000.0,4 bds3 ba- House for sale,4.0,3.0,House,Vaughan
"2 Belvia Dr, Vaughan, ON L4K 5J7",998000.0,"4 bds4 ba1,935 sqft- House for sale",4.0,4.0,House,Vaughan
"7 Cormel St, Vaughan, ON L6A 2L3",829000.0,3 bds3 ba- Townhouse for sale,3.0,3.0,Townhouse,Vaughan
"120 Andes Cres, Vaughan, ON L4H 3H5",990000.0,3 bds4 ba- House for sale,3.0,4.0,House,Vaughan
"35 Loire Valley Ave, Vaughan, ON L4J 8T3",999999.0,3 bds3 ba- Townhouse for sale,3.0,3.0,Townhouse,Vaughan
"75 N Park Rd #110, Vaughan, ON L4J 0H8",499900.0,1 bd1 ba- Condo for sale,1.0,1.0,Condo,Vaughan
"78 Manordale Cres, Vaughan, ON L4H 0T7",1149000.0,4 bds4 ba- House for sale,4.0,4.0,House,Vaughan
